SAFE1,SAFE2,SAFE3,SAFE10,SAFE11,SAFE12,SAFE13,SAFE14,SAFE15,SAFE16,SAFE17,SAFE18,SAFE19,SAFE20,SAFE21,SAFE22,SAFE23,SAFE24,SAFE25,SAFE26,SAFE27,SAFE28,SAFE29,SAFE30,SAFE31,SAFE32,SAFE33,SAFE34,SAFE35,SAFE36,SAFE37,SAFE38,SAFE39,SAFE4,SAFE40,SAFE41,SAFE42,SAFE43,SAFE44,SAFE45,SAFE46,SAFE47,SAFE48,SAFE49,SAFE5,SAFE50,SAFE51,SAFE52,SAFE53,SAFE54,SAFE55,SAFE56,SAFE57,SAFE58,SAFE59,SAFE6,SAFE60,SAFE61,SAFE62,SAFE63,SAFE64,SAFE65,SAFE66,SAFE67,SAFE68,SAFE69,SAFE7,SAFE70,SAFE71,SAFE72,SAFE73,SAFE74,SAFE75,SAFE76,SAFE77,SAFE78,SAFE79,SAFE8,SAFE9,V1,V2,V3,V4,Label
-3.089736,3.27892217052,-2.183218,-1.665908,-1.196372,0.33598587552,-1.4244617553,-1.4378182447,-0.009557503119958,-2.337658,-0.234768,-0.524622,-2.30454,-1.43114,0.55774,1.249957676,-1.25501889,1.60726111,-0.2520539653654,0.168532,-0.033118,0.9745521759,-2.19053,-0.67175,1.29735417052,-0.638632,0.2050463712,-1.981568,-0.05864689,0.41088911,-0.04134760075248,-0.906518,-0.8734,0.0289252612,-0.75939,0.17612111,0.0066782447,-1.07505,-0.8947745954,0.168532,-3.0683614046,-2.15355503316641,-0.8734,2.195910247424,-0.67175,-0.68421382948,-2.57079550896898,-0.20165,1.779918,0.3995831872,0.18918617052,0.35609,2.40552217052,-1.43768637643681,-1.309818,-2.50619,0.906518,0.2234620772,1.0867934046,-0.31566,-0.487130116,0.18918617052,-6.36865817052,-0.112468271,-10.1310038714538,-5.272954,-0.35609,-0.906518,6.745567250448,0.55774,-0.840282,0.18918617052,-6.36865817052,-10.1310038714538,-5.272954,-0.906518,6.745567250448,1.538547057,-1.108168,1.5691,6.3465,-0.1828,-2.4099,1.0
3.7333,4.02288402,-0.0825999999999998,0.6479,2.9677,-2.09686722,-3.51145542,7.12705542,-9.616149948276,5.6237,-1.1599,-2.0081,3.8255,1.8078,0.2099,3.64759806,-4.16075837,-7.77635837,-10.789959821286,4.7563,1.7982,-3.58847236,-1.3602,4.9758,6.89838402,3.1776,-2.34033023,2.8755,-7.12845837,-4.80865837,6.922930853363,3.8159,2.0177,3.62822814,-3.168,-5.96855837,-5.31925542,-0.9404,-2.8516104,4.7563,8.6026104,-16.4683059552,2.0177,2.4666039,4.9758,9.77388402,19.83630324951,-2.9581,-5.8336,-8.50601655,7.75618402,-2.7482,6.04058402,5.917433812356,-2.1003,0.8674,-3.8159,-2.53745818,-5.7271104,2.2276,0.42351523,7.75618402,-0.289584020000001,-0.62090519,15.018632911866,3.6507,2.7482,3.8159,-0.308370579999999,0.2099,0.2195,7.75618402,-0.289584020000001,15.018632911866,3.6507,3.8159,-0.308370579999999,-1.70005512,0.8578,-0.27802,8.1881,-3.1338,-2.5276,1.0
13.37906,-6.4657395738,9.62364,7.24171,-7.21849,0.0839414609999997,12.82944594,-12.80622594,0.148815075263399,3.76703,7.2301,-3.74381,-0.34877,0.01161,-0.37199,-0.0041840117999999,-1.110721434,-1.133941434,-0.0130302679487399,1.0015,4.1158,10.3421262464,3.4979,-3.47468,0.0436004261999998,-7.59048,-2.605583438,6.50934,6.107768566,-8.352431434,-8.1145685009634,3.75542,-0.36038,-1.483252004,3.48629,-1.122331434,12.81783594,2.75392,6.5498158269,1.0015,6.4688641731,0.263470919073245,-0.36038,44.7173431848,-3.47468,6.5529404262,0.283809998280707,3.1143,-3.39504,20.272037562,6.9133204262,2.74231,-6.8261195738,0.299522719874663,9.98402,2.76553,-3.75542,21.394368996,0.0404758268999998,-0.73237,0.1340577562,6.9133204262,19.8447995738,-1.158488457,-86.5055177022446,23.0027,-2.74231,3.75542,128.7552569784,-0.37199,-4.47618,6.9133204262,19.8447995738,-86.5055177022446,23.0027,3.75542,128.7552569784,0.0319730111999999,6.86972,0.051979,7.0521,-2.0541,-3.1508,1.0
-0.0725800000000012,-0.435556959999999,-1.85818,2.20396,-3.88216,-2.553431646,-3.89239644,2.21419644,2.562021042804,0.946499999999999,3.04306,-2.6247,-2.892,-0.8391,-1.2138,1.72258839,0.793858776,2.472058776,-1.3702157089416,4.63394,3.8385,-5.085995904,-0.42074,-1.25746,-1.49829696,-5.09596,-6.247097874,-1.06274,4.676018776,-1.410101224,4.96919153289456,1.7856,-2.0529,-7.88005665,0.41836,1.632958776,-3.05329644,-2.84834,-1.413785876,4.63394,-0.711694124000001,0.37307049426024,-2.0529,-1.0522826384,-1.25746,-2.56103696,1.5923001112704,-0.79544,0.267300000000001,0.8453459056,-0.508136960000001,-2.00924,-2.48845696,-1.4835537179136,0.19472,-3.68744,-1.7856,-0.787612870399999,-0.351045876,-3.2667,2.49181002,-0.508136960000001,0.362976959999998,0.965505072,0.0316127241568005,-1.93076,2.00924,1.7856,0.134866704400002,-1.2138,-5.8914,-0.508136960000001,0.362976959999998,0.0316127241568005,-1.93076,1.7856,0.134866704400002,2.390042094,0.990159999999999,-1.7559,11.9459,3.0946,-4.8978,1.0
16.34682,11.560929783,10.93259,4.39211,3.87209,1.074387321,4.1489269094,4.1152730906,0.06953047233174,9.54633,0.26001,-1.28213,9.4077,4.1321,1.1435,21.79930676,4.772452328,-3.491747672,2.6459998545288,0.0172499999999998,0.13863,29.2204910254,3.10998,5.15422,22.372139783,5.01559,1.371708756,10.81121,0.900362328,0.380342328,0.16649800880328,5.41423,5.2756,0.731356428,-1.02212,0.640352328,0.0168269094,5.39698,6.587707948,0.01725,15.034712052,-45.6611676196029,5.2756,59.8466421881,5.15422,33.183349783,241.869901343367,0.12138,-10.68983,1.3122646698,27.907749783,1.26488,16.836529783,123.843440704173,5.65699,9.52908,-5.41423,0.6719123418,-4.223502052,6.4191,6.0326486,27.907749783,4.785890217,0.13879803,188.98443819534,27.27941,-1.26488,5.41423,178.7130808638,1.1435,5.13697,27.907749783,4.785890217,188.98443819534,27.27941,5.41423,178.7130808638,22.300861058,5.53561,2.4287,9.3821,-3.2477,-1.4543,1.0
23.8478,96.95331103,9.9361,14.0638,1.868,48.57526161,-31.44095546,47.37275546,-313.911069908814,21.8776,6.0979,-5.9458,11.8499,7.9659,-4.0819,30.9395556,-7.2974432,-23.2292432,-121.58626559688,13.9575,10.0277,-0.637155860000004,8.118,7.8138,110.81921103,-2.2139,23.6842436,13.8659,-9.1654432,-21.3612432,-93.07434049928,13.9117,3.884,38.9475868,0.1521,-15.2633432,-39.40685546,-0.0458000000000003,15.07751339,13.9575,12.65428661,16.800110104401,3.884,138.40802721,7.8138,124.68511103,1536.60809822088,-3.9298,-17.7957,-54.49021382,120.80111103,-8.0117,100.83731103,1106.18628258036,6.0521,7.9201,-13.9117,-39.22687062,1.21161339,-0.1979,-15.8540996,120.80111103,-73.10551103,16.04105062,2312.12317078123,33.7839,8.0117,13.9117,236.95412558,-4.0819,-6.1437,120.80111103,-73.10551103,2312.12317078123,33.7839,13.9117,236.95412558,-0.364838220000002,9.9819,4.6352,-3.0087,2.6773,1.212,1.0
-5.6382,29.34220949,2.9805,-3.0849,-2.8605,0.333536939999999,-48.64011679,42.69471679,135.755529891633,-11.5914,-0.1122,5.646,-4.7773,-2.9727,1.1681,5.36453442,-15.06694874,-9.12154874,35.952573229398,-13.516,-6.8141,-42.20835951,2.5611,-8.5065,25.62080949,-1.6924,0.202476119999999,-3.7214,-12.20644874,-11.98204874,1.356974708628,-8.6187,-1.8046,12.29672486,5.5338,-12.09424874,-45.66741679,4.8973,-20.17172726,-13.516,12.72892726,61.218247865364,-1.8046,7.13317952,-8.5065,21.89940949,-95.345280436086,6.7019,10.4233,-24.94045066,23.70400949,7.87,27.53760949,-49.109967630432,4.7851,1.9246,8.6187,-12.84620192,-16.45032726,-0.6365,-2.10795326,23.70400949,-34.98040949,7.82848939,-165.437245546518,-2.6577,-7.87,-8.6187,-16.8046551,1.1681,5.0095,23.70400949,-34.98040949,-165.437245546518,-2.6577,-8.6187,-16.8046551,-14.55820371,-1.9168,0.24835,7.6439,0.9885,-0.87371,1.0
16.83105,-0.556065680000001,9.0863,8.50742,-6.39478,7.870745952,3.53697874,-1.42433874,2.6203694402368,8.80107,7.4511,-6.68843,1.69927,1.05632,-0.41337,0.679160944,1.280902435,-0.831737565,0.2372309177392,6.7525,7.1018,7.6847281875,1.81899,0.29365,8.18093432,-6.80815,4.790684745,8.737,7.675682435,-7.226517565,1.6733861814285,7.74475,0.64295,4.56610231,0.76267,0.224582435,2.48065874,0.99225,9.5426235744,6.7525,7.9313764256,7.0387331695328,0.642949999999999,70.71771485,0.29365,16.91793432,71.47682315384,0.3493,-8.3877,3.0518341,16.27498432,-0.06407,0.0868843199999976,66.216891432796,8.44335,2.04857,-7.74475,2.827251665,0.8056235744,0.22958,-0.2657762415,16.27498432,17.38711568,-0.144390141,-9.35916926336403,25.91735,0.0640699999999998,7.74475,152.931969615,-0.41337,-6.45885,16.27498432,17.38711568,-9.35916926336403,25.91735,7.74475,152.931969615,1.04813352,8.09405,5.1731,3.9606,-1.983,0.40774,1.0
20.4225,11.7974369,13.47,7.01486,-0.0429399999999998,12.301604244,6.06173488,0.91018512,8.9790482006848,10.43846,3.5289,-3.46654,7.94086,3.48596,0.96894,15.529603204,8.08029837,1.10837837,16.0156797842852,1.4663,2.4976,38.1428055,3.54832,3.4236,24.2361369,0.926,15.72089661,12.4387,8.12323837,1.06543837,16.212960673893,6.9525,4.4549,11.12655824,0.0623600000000002,4.59433837,2.57577488,5.4862,12.6560844656,1.4663,12.2213155344,2.70398015225873,4.4549,99.30809306,3.4236,36.6748369,301.46603605803,1.0313,-11.4074,12.82803131,32.2199369,2.00024,16.2523369,193.49646978222,9.0151,8.97216,-6.9525,8.23369294,0.217384465600001,5.42384,4.316530806,32.2199369,8.62506309999999,0.999267822,240.93315509025,33.8925,-2.00024,6.9525,275.091075,0.96894,1.9573,32.2199369,8.62506309999999,240.93315509025,33.8925,6.9525,275.091075,19.124673752,7.9838,4.0047,0.45937,1.3621,1.6181,1.0
-8.3784,23.94613169,1.4086,-2.35747,-1.42627,0.880854672000001,-51.8480294,48.0642894,94.510559284078,-11.67887,-0.4656,7.89513,-4.37427,-1.89187,-0.59053,4.696378088,-18.8690036,-15.0852636,32.118529743832,-14.1436,-7.3046,-42.6380442,5.53766,-9.3214,18.51573169,-2.0168,1.15580544,-5.4304,-17.4427336,-16.5115336,7.90455340416,-9.787,-2.4824,18.13293904,7.42953,-16.9771336,-49.9561594,4.3566,-19.4861049211,-14.1436,8.6253049211,76.3281000035414,-2.4824,16.0088192,-9.3214,13.08533169,-100.547829369376,6.839,12.2694,-37.1385056,15.56773169,6.24847,21.46373169,-54.58437702212,3.891,2.46473,9.787,-20.161372,-14.0557049211,-3.07293,1.465931672,15.56773169,-32.32453169,-4.03863467,-200.630269751496,-6.9698,-6.24847,-9.787,-11.80181424,-0.59053,4.8222,15.56773169,-32.32453169,-200.630269751496,-6.9698,-9.787,-11.80181424,-8.242120842,-2.948,0.96441,5.8395,2.3235,0.066365,1.0
